duration,start_date,start_year,start_month,start_hour,weekday,start_city,end_city,subscription_type
1.05,29,2013,8,14,3,South Van Ness at Market,South Van Ness at Market,Subscriber
1.1666666666666667,29,2013,8,14,3,San Jose City Hall,San Jose City Hall,Subscriber
1.1833333333333333,29,2013,8,10,3,Mountain View City Hall,Mountain View City Hall,Subscriber
1.2833333333333334,29,2013,8,11,3,San Jose City Hall,San Jose City Hall,Subscriber
1.3833333333333333,29,2013,8,12,3,South Van Ness at Market,Market at 10th,Subscriber
1.7166666666666666,29,2013,8,18,3,Golden Gate at Polk,Golden Gate at Polk,Subscriber
1.8166666666666667,29,2013,8,13,3,Santa Clara at Almaden,Adobe on Almaden,Subscriber
1.85,29,2013,8,14,3,San Salvador at 1st,San Salvador at 1st,Subscriber
1.8833333333333333,29,2013,8,17,3,South Van Ness at Market,South Van Ness at Market,Subscriber
1.9,29,2013,8,11,3,San Jose City Hall,MLK Library,Subscriber
2.0833333333333335,29,2013,8,13,3,Spear at Folsom,Embarcadero at Bryant,Subscriber
2.1,29,2013,8,13,3,San Pedro Square,Santa Clara at Almaden,Subscriber
2.15,29,2013,8,19,3,Mountain View Caltrain Station,Mountain View Caltrain Station,Subscriber
2.1666666666666665,29,2013,8,13,3,2nd at South Park,2nd at South Park,Subscriber
2.2333333333333334,29,2013,8,12,3,Clay at Battery,Beale at Market,Subscriber
2.3,29,2013,8,16,3,Post at Kearney,Post at Kearney,Subscriber
2.35,29,2013,8,11,3,San Jose City Hall,San Jose City Hall,Subscriber
2.3666666666666667,29,2013,8,12,3,Market at 10th,Market at 10th,Subscriber
2.3666666666666667,29,2013,8,22,3,Steuart at Market,Harry Bridges Plaza (Ferry Building),Subscriber
2.4,29,2013,8,22,3,Powell Street BART,Market at 4th,Subscriber
2.433333333333333,29,2013,8,19,3,Spear at Folsom,Embarcadero at Bryant,Subscriber
2.466666666666667,29,2013,8,12,3,Redwood City Caltrain Station,Redwood City Caltrain Station,Subscriber
2.5166666666666666,29,2013,8,11,3,San Francisco City Hall,San Francisco City Hall,Subscriber
2.6666666666666665,29,2013,8,22,3,Post at Kearney,Market at Sansome,Subscriber
2.683333333333333,29,2013,8,10,3,Beale at Market,Steuart at Market,Customer
2.716666666666667,29,2013,8,13,3,Japantown,Japantown,Subscriber
2.75,29,2013,8,13,3,Temporary Transbay Terminal (Howard at Beale),Embarcadero at Folsom,Subscriber
2.7666666666666666,29,2013,8,13,3,San Jose Civic Center,San Salvador at 1st,Subscriber
2.8,29,2013,8,21,3,South Van Ness at Market,South Van Ness at Market,Subscriber
2.816666666666667,29,2013,8,18,3,Redwood City Medical Center,Broadway at Main,Subscriber
2.8833333333333333,29,2013,8,11,3,2nd at Townsend,2nd at South Park,Customer
2.8833333333333333,29,2013,8,12,3,Civic Center BART (7th at Market),Civic Center BART (7th at Market),Subscriber
2.9,29,2013,8,9,3,2nd at South Park,2nd at South Park,Subscriber
2.9166666666666665,29,2013,8,15,3,San Francisco City Hall,South Van Ness at Market,Subscriber
2.966666666666667,29,2013,8,9,3,Commercial at Montgomery,Commercial at Montgomery,Subscriber
3.05,29,2013,8,22,3,Market at 4th,Post at Kearney,Subscriber
3.066666666666667,29,2013,8,16,3,Market at 10th,South Van Ness at Market,Subscriber
3.1,29,2013,8,15,3,2nd at Folsom,2nd at Townsend,Subscriber
3.1,29,2013,8,17,3,2nd at Folsom,2nd at Folsom,Subscriber
3.1333333333333333,29,2013,8,16,3,Market at 10th,South Van Ness at Market,Subscriber
3.1333333333333333,29,2013,8,17,3,Powell Street BART,Market at 4th,Subscriber
3.1333333333333333,29,2013,8,19,3,Clay at Battery,Washington at Kearney,Customer
3.15,29,2013,8,12,3,Washington at Kearney,Clay at Battery,Subscriber
3.183333333333333,29,2013,8,14,3,San Jose City Hall,San Jose City Hall,Subscriber
3.216666666666667,29,2013,8,16,3,Golden Gate at Polk,San Francisco City Hall,Subscriber
3.283333333333333,29,2013,8,17,3,University and Emerson,Cowper at University,Subscriber
3.4,29,2013,8,16,3,Golden Gate at Polk,San Francisco City Hall,Subscriber
3.45,29,2013,8,17,3,Market at 10th,South Van Ness at Market,Subscriber
3.4833333333333334,29,2013,8,17,3,Yerba Buena Center of the Arts (3rd @ Howard),5th at Howard,Customer
3.5,29,2013,8,13,3,Adobe on Almaden,San Jose Civic Center,Subscriber
3.5166666666666666,29,2013,8,15,3,Steuart at Market,Harry Bridges Plaza (Ferry Building),Subscriber
3.566666666666667,29,2013,8,17,3,Yerba Buena Center of the Arts (3rd @ Howard),5th at Howard,Customer
3.566666666666667,29,2013,8,19,3,Powell at Post (Union Square),Market at 4th,Subscriber
3.5833333333333335,29,2013,8,13,3,Market at 10th,Civic Center BART (7th at Market),Subscriber
3.6,29,2013,8,21,3,San Francisco Caltrain 2 (330 Townsend),San Francisco Caltrain 2 (330 Townsend),Subscriber
3.6333333333333333,29,2013,8,9,3,Mountain View City Hall,Mountain View City Hall,Subscriber
3.65,29,2013,8,12,3,Grant Avenue at Columbus Avenue,Commercial at Montgomery,Subscriber
3.7,29,2013,8,12,3,Embarcadero at Vallejo,Harry Bridges Plaza (Ferry Building),Subscriber
3.716666666666667,29,2013,8,12,3,2nd at Townsend,San Francisco Caltrain 2 (330 Townsend),Subscriber
3.75,29,2013,8,13,3,Mechanics Plaza (Market at Battery),Clay at Battery,Subscriber
3.8,29,2013,8,17,3,South Van Ness at Market,Market at 10th,Subscriber
3.933333333333333,29,2013,8,20,3,2nd at Folsom,Market at Sansome,Customer
3.933333333333333,29,2013,8,20,3,Golden Gate at Polk,South Van Ness at Market,Subscriber
3.95,29,2013,8,13,3,South Van Ness at Market,San Francisco City Hall,Subscriber
